"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0.8376
"42",5.7601
"43",12.7863
"44",32.9899
"45",52.9006
"46",77.1064
"47",102.7298
"48",130.3827
"49",158.1769
"50",187.2645
"51",216.1826
"52",245.4292
"53",274.5903
"54",303.8174
"55",332.6373
"56",361.7924
"57",390.9808
"58",420.4182
"59",448.0412
"60",475.7481
"61",501.7524
"62",527.2793
"63",554.6029
"64",581.9262
"65",605.1338
"66",628.6346
"67",650.8062
"68",672.0538
"69",692.6268
"70",712.7035
"71",729.6539
"72",746.5423
"73",762.9875
"74",776.5871
"75",788.2114
"76",799.4527
"77",807.8437
"78",810.4823
"79",818.1738
"80",827.4417
"81",830.8665
"82",831.4521
"83",831.2688
"84",830.0265
"85",827.3915
"86",823.2103
"87",817.4267
"88",808.7991
"89",796.6376
"90",783.397
"91",770.4373
"92",754.9229
"93",739.8136
"94",721.423
"95",702.7546
"96",681.5611
"97",661.1354
"98",636.6789
"99",612.3812
"100",586.466
"101",560.6006
"102",535.6802
"103",507.7225
"104",480.6028
"105",453.3626
"106",423.6627
"107",393.9468
"108",362.8018
"109",334.0209
"110",305.5581
"111",276.0826
"112",248.5771
"113",217.5786
"114",187.1004
"115",157.6739
"116",131.1802
"117",104.7866
"118",79.7465
"119",55.5232
"120",30.52
"121",11.7496
"122",5.4248
"123",0.3663
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
