"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",133.35
"42",304.44
"43",261.591
"44",274.521
"45",287.562
"46",326.202
"47",319.038
"48",346.752
"49",347.775
"50",350.175
"51",379.2
"52",1912.806
"53",2308.338
"54",2527.716
"55",2731.824
"56",2914.587
"57",3110.394
"58",3302.058
"59",3465.945
"60",3642.27
"61",3786.378
"62",3923.376
"63",4097.058
"64",4222.974
"65",4335.99
"66",4497.762
"67",4592.082
"68",4642.461
"69",4774.122
"70",4767.834
"71",4925.463
"72",5002.074
"73",5033.952
"74",5097.234
"75",5194.461
"76",5184.606
"77",5183.292
"78",5207.889
"79",5243.196
"80",5238.546
"81",5243.196
"82",5173.29
"83",5163.801
"84",5157.147
"85",5130.168
"86",5095.86
"87",5029.68
"88",4947.315
"89",4834.755
"90",4715.322
"91",4605.87
"92",4533.624
"93",4433.868
"94",4284.765
"95",4147.629
"96",3956.52
"97",3840.702
"98",3658.95
"99",3490.596
"100",3288.558
"101",3107.856
"102",2909.643
"103",2672.595
"104",2166.183
"105",1246.209
"106",683.508
"107",355.485
"108",355.5
"109",355.59
"110",362.583
"111",347.985
"112",354.96
"113",354.915
"114",312.096
"115",347.976
"116",334.062
"117",313.104
"118",291.822
"119",303.087
"120",310.347
"121",289.452
"122",303.912
"123",289.866
"124",261.462
"125",133.998
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
